Indinavir | drug
thioridazine | drug
Erythromycin | drug
theophylline | drug
theophylline | drug
theophylline | drug
theophylline | drug
theophylline | drug
theophylline | drug
erythromycin | drug
erythromycin | drug
digoxin | drug
digoxin | drug
erythromycin | drug
erythromycin | drug
erythromycin | drug
ergotamine | drug
dihydroergotamine | drug
Erythromycin | drug
triazolam | drug
midazolam | drug
erythromycin | drug
erythromycin | drug
carbamazepine | drug
cyclosporine | drug
tacrolimus | drug
hexobarbital | drug
phenytoin | drug
alfentanil | drug
cisapride | drug
disopyramide | drug
lovastatin | drug
bromocriptine | drug
valproate | drug
terfenadine | drug
astemizole | drug
erythromycin | drug
Erythromycin | drug
terfenadine | drug
astemizole | drug
terfenadine | drug
erythromycin | drug
erythromycin | drug
cisapride | drug
cisapride | drug
erythromycin | drug
lovastatin | drug
erythromycin | drug
indinavir | drug
IDV | drug
didanosine | drug
IDV | drug
indinavir | drug
didanosine | drug
indinavir | drug
didanosine | drug
indinavir | drug
indinavir | drug
indinavir | drug
indinavir | drug
didanosine | drug
indinavir | drug
didanosine | drug
Indinavir | drug
didanosine | drug
fosphenytoin | drug
phenytoin | drug
fosphenytoin | drug
phenytoin | drug
fosphenytoin | drug
fosphenytoin | drug
phenytoin | drug
diazepam | drug
diazepam | drug
phenytoin | drug
Phenytoin | drug
Phenytoin | drug
phenytoin | drug
Phenytoin | drug
phenytoin | drug
alcohol | drug
amiodarone | drug
chlordiazepoxide | drug
cimetidine | drug
diazepam | drug
dicumarol | drug
disulfiram | drug
ethosuximide | drug
fluoxetine | drug
halothane | drug
isoniazid | drug
methylphenidate | drug
phenylbutazone | drug
tolbutamide | drug
trazodone | drug
phenytoin | drug
carbamazepine | drug
alcohol | drug
reserpine | drug
phenytoin | drug
phenobarbital | drug
sodium valproate | drug
phenytoin | drug
phenobarbital | drug
valproic acid | drug
valproate | drug
phenytoin | drug
digitoxin | drug
doxycycline | drug
furosemide | drug
rifampin | drug
quinidine | drug
theophylline | drug
phenytoin | drug
Phenytoin | drug
Phenytoin | drug
phenytoin | drug
levamisole hydrochloride | drug
alcohol | drug
phenytoin | drug
levamisole | drug
warfarin sodium | drug
warfarin sodium | drug
ergotamine | drug
dihydroergotamine | drug
methysergide | drug
fluoxetine | drug
fluvoxamine | drug
paroxetine | drug
sertraline | drug
frovatriptan | drug
fluvastatin | drug
Fluvastatin | drug
lovastatin | drug
simvastatin | drug
pravastatin | drug
fluvastatin | drug
fluvastatin | drug
fluvastatin | drug
fluvastatin | drug
fluvastatin | drug
fluvastatin | drug
fluvastatin | drug
fluvastatin | drug
fluvastatin | drug
Cholestyramine | drug
fluvastatin | drug
cholestyramine | drug
fluvastatin | drug
warfarin | drug
warfarin | drug
fluvastatin | drug
niacin | drug
propranolol | drug
fluvastatin | drug
digoxin | drug
digoxin | drug
fluvastatin | drug
clonidine hydrochloride | drug
clonidine | drug
Clonidine hydrochloride | drug
alcohol | drug
Amitriptyline | drug
clonidine | drug
Clonidine | drug
alcohol | drug
clonidine | drug
clonidine | drug
clonidine | drug
clonidine | drug
clonidine | drug
fluphenazine | drug
clonidine | drug
clonidine | drug
clonidine | drug
clonidine | drug
hydrochlorothiazide | drug
digoxin | drug
warfarin | drug
nifedipine | drug
sulphenazole | drug
tolbutamide | drug
nifedipine | drug
irbesartan | drug
warfarin | drug
warfarin | drug
hydrochlorothiazide | drug
digoxin | drug
irbesartan | drug
warfarin | drug
digoxin | drug
irbesartan | drug
nifedipine | drug
hydrochlorothiazide | drug
Lovastatin | drug
lovastatin | drug
Itraconazole | drug
Ketoconazole | drug
Erythromycin | drug
Clarithromycin | drug
Telithromycin | drug
Nefazodone | drug
Cyclosporine | drug
Gemfibrozil | drug
Niacin | drug
nicotinic acid | drug
Danazol | drug
danazol | drug
lovastatin | drug
Amiodarone | drug
Verapamil | drug
amiodarone | drug
verapamil | drug
lovastatin | drug
warfarin | drug
warfarin | drug
lovastatin | drug
lovastatin | drug
lovastatin | drug
Lovastatin | drug
Propranolol | drug
lovastatin | drug
propranolol | drug
Digoxin | drug
lovastatin | drug
digoxin | drug
digoxin | drug
glipizide | drug
chlorpropamide | drug
theophylline | drug
theophylline | drug
theophylline | drug
theophylline | drug
theophylline | drug
caffeine | drug
caffeine | drug
cinoxacin | drug
cinoxacin | drug
caffeine | drug
sucralfate | drug
iron | drug
zinc | drug
didanosine | drug
cinoxacin | drug
warfarin | drug
fenbufen | drug
Fenbufen | drug
cinoxacin | drug
cyclosporine | drug
cyclosporine | drug
interferon beta-1a | drug
interferon beta-1a | drug
glatiramer acetate | drug
beta-interferon | drug
glatiramer acetate | drug
allopurinol | drug
allopurinol | drug
Mercaptopurine | drug
Azathioprine | drug
Allopurinol | drug
mercaptopurine | drug
azathioprine | drug
6-thiouric acid | drug
mercaptopurine | drug
mercaptopurine | drug
azathioprine | drug
allopurinol | drug
mercaptopurine | drug
azathioprine | drug
mercaptopurine | drug
azathioprine | drug
Dicumarol | drug
allopurinol | drug
dicumarol | drug
allopurinol | drug
dicumarol | drug
oxipurinol | drug
oxipurinol | drug
allopurinol | drug
allopurinol | drug
allopurinol | drug
allopurinol | drug
allopurinol | drug
allopurinol | drug
allopurinol | drug
Ampicillin | drug
Amoxicillin | drug
ampicillin | drug
amoxicillin | drug
allopurinol | drug
cyclophosphamide | drug
allopurinol | drug
allopurinol | drug
cyclophosphamide | drug
doxorubicin | drug
bleomycin | drug
procarbazine | drug
mechlorethamine | drug
Chlorpropamide | drug
Chlorpropamide | drug
allopurinol | drug
allopurinol | drug
chlorpropamide | drug
allopurinol | drug
chlorpropamide | drug
Cyclosporin | drug
cyclosporine | drug
allopurinol sodium | drug
cyclosporine | drug
cyclosporine | drug
Tolbutamide | drug
thioridazine | drug
amphotericin B | drug
clindamycin | drug
gentamicin | drug
clindamycin | drug
gentamicin | drug
clindamycin | drug
Gentamicin | drug
clindamycin | drug
gentamicin | drug
clindamycin | drug
gentamicin | drug
clindamycin | drug
gentamicin | drug
clindamycin | drug
gentamicin | drug
clindamycin | drug
dasatinib | drug
Dasatinib | drug
ketoconazole | drug
itraconazole | drug
erythromycin | drug
clarithromycin | drug
ritonavir | drug
atazanavir | drug
indinavir | drug
nefazodone | drug
nelfinavir | drug
saquinavir | drug
telithromycin | drug
dasatinib | drug
dasatinib | drug
dasatinib | drug
dexamethasone | drug
phenytoin | drug
carbamazepine | drug
rifampicin | drug
phenobarbital | drug
dasatinib | drug
famotidine | drug
omeprazole | drug
dasatinib | drug
dasatinib | drug
Dasatinib | drug
alfentanil | drug
astemizole | drug
terfenadine | drug
cisapride | drug
cyclosporine | drug
fentanyl | drug
pimozide | drug
quinidine | drug
sirolimus | drug
tacrolimus | drug
ergotamine | drug
dihydroergotamine | drug
dasatinib | drug
Dasatinib | drug
dasatinib | drug
cisplatin | drug
cyclosporine | drug
foscarnet | drug
cyclophosphamide | drug
phenobarbital | drug
cyclophosphamide | drug
cyclophosphamide | drug
Cyclophosphamide | drug
succinylcholine chloride | drug
cyclophosphamide | drug
oxyphenbutazone | drug
oxyphenbutazone | drug
insulin | drug
Folic acid | drug
phenobarbital | drug
phenytoin | drug
primidone | drug
leucovorin | drug
methotrexate | drug
leucovorin | drug
methotrexate | drug
Leucovorin | drug
5-fluorouracil | drug
nabumetone | drug
warfarin | drug
aluminum | drug
Aminoglutethimide | drug
Aminoglutethimide | drug
Amphotericin B | drug
amphotericin B | drug
amphotericin B | drug
hydrocortisone | drug
warfarin | drug
warfarin | drug
isoniazid | drug
Cholestyramine | drug
Cholestyramine | drug
Cyclosporine | drug
cyclosporine | drug
indomethacin | drug
Ephedrine | drug
Ephedrine | drug
phenytoin | drug
carbamazepine | drug
rifampin | drug
ketoconazole | drug
erythromycin | drug
Dexamethasone | drug
indinavir | drug
erythromycin | drug
Ketoconazole | drug
Ketoconazole | drug
ketoconazole | drug
corticosteroid | drug
Phenytoin | drug
phenytoin | drug
dexamethasone | drug
Thalidomide | drug
thalidomide | drug
latanoprost | drug
alefacept | drug
alefacept | drug
Bepridil | drug
nitroglycerin | drug
Bepridil | drug
Bepridil | drug
Digoxin | drug
bepridil hydrochloride | drug
digoxin | drug
bepridil hydrochloride | drug
digoxin | drug
digoxin | drug
Bepridil | drug
insulin | drug
bepridil hydrochloride | drug
bepridil hydrochloride | drug
quinidine | drug
procainamide | drug
bepridil hydrochloride | drug
bepridil hydrochloride | drug
Azlocillin | drug
amikacin | drug
ciprofloxacin | drug
gentamicin | drug
netilmicin | drug
tobramycin | drug
dobutamine | drug
dobutamine | drug
nitroprusside | drug
dobutamine | drug
furosemide | drug
spironolactone | drug
lidocaine | drug
glyceryl trinitrate | drug
isosorbide dinitrate | drug
morphine | drug
atropine | drug
heparin | drug
protamine | drug
potassium chloride | drug
folic acid | drug
acetaminophen | drug
enflurane | drug
isoflurane | drug
halothane | drug
lithium | drug
magnesium | drug
procainamide | drug
enflurane | drug
isoflurane | drug
halothane | drug
lithium | drug
magnesium | drug
procainamide | drug
quinidine | drug
succinylcholine | drug
succinylcholine | drug
Codeine | drug
alcohol | drug
Furosemide | drug
Furosemide | drug
ethacrynic acid | drug
furosemide | drug
Furosemide | drug
tubocurarine | drug
succinylcholine | drug
Lithium | drug
lithium | drug
lithium | drug
Furosemide | drug
Furosemide | drug
norepinephrine | drug
norepinephrine | drug
sucralfate | drug
furosemide | drug
furosemide | drug
furosemide | drug
furosemide | drug
sucralfate | drug
furosemide | drug
acetylsalicylic acid | drug
furosemide | drug
indomethacin | drug
furosemide | drug
Indomethacin | drug
indomethacin | drug
furosemide | drug
furosemide | drug
irinotecan | drug
irinotecan | drug
melarsoprol | drug
melarsoprol | drug
thiabendazole | drug
melarsoprol | drug
melarsoprol | drug
iron | drug
reserpine | drug
acebutolol | drug
digoxin | drug
hydrochlorothiazide | drug
hydralazine | drug
sulfinpyrazone | drug
tolbutamide | drug
warfarin | drug
pentagastrin | drug
histamine | drug
pentagastrin | drug
histamine | drug
CCNU | drug
CCNU | drug
CCNU | drug
CCNU | drug
CCNU | drug
CCNU | drug
CCNU | drug
Cyclosporine | drug
L-arginine | drug
cyclosporin | drug
Ibuprofen | drug
L-arginine | drug
ibuprofen | drug
L-arginine | drug
nitrates | drug
Sildenafil citrate | drug
L-arginine | drug
sildenafil citrate | drug
Interferon beta | drug
Interferon beta | drug
sodium fluorescein | drug
NaFlu | drug
bacitracin | drug
insulin | drug
Cysteine | drug
cysteine | drug
NaFlu | drug
cysteine | drug
Cysteine | drug
cysteine | drug
NaFlu | drug
cysteine | drug
NaFlu | drug
bacitracin | drug
insulin | drug
cysteine | drug
NaFlu | drug
bacitracin | drug
insulin | drug
cefotaxime sodium | drug
anidulafungin | drug
arginine | drug
arginine | drug
glucose | drug
theophylline | drug
Theophylline | drug
Glucose | drug
theophylline | drug
Arginine | drug
glucose | drug
theophylline | drug
Arginine | drug
glucose | drug
theophylline | drug
arginine | drug
arginine | drug
glucose | drug
theophylline | drug
glucose | drug
Methotrexate | drug
methotrexate | drug
methotrexate | drug
methotrexate | drug
Furosemide | drug
furosemide | drug
furosemide | drug
Lithium | drug
lithium | drug
lithium | drug
lithium | drug
lithium | drug
lithium | drug
Warfarin | drug
warfarin | drug
magnesium hydroxide | drug
mefenamic acid | drug
mefenamic acid | drug
fluconazole | drug
lovastatin | drug
trimethoprim | drug
mefenamic acid | drug
bromocriptine mesylate | drug
alcohol | drug
bromocriptine mesylate | drug
Bromocriptine mesylate | drug
bromocriptine mesylate | drug
haloperidol | drug
metoclopramide | drug
pimozide | drug
bromocriptine mesylate | drug
lenalidomide | drug
lenalidomide | drug
lenalidomide | drug
R- warfarin | drug
S- warfarin | drug
warfarin | drug
lenalidomide | drug
warfarin | drug
lenalidomide | drug
Fenfluramine | drug
guanethidine | drug
methyldopa | drug
reserpine | drug
fenfluramine | drug
Bentiromide | drug
acetaminophen | drug
chloramphenicol | drug
benzocaine | drug
lidocaine | drug
procainamide | drug
flumazenil | drug
zopiclone | drug
flumazenil | drug
ethanol | drug
flumazenil | drug
flumazenil | drug
diazepam | drug
midazolam | drug
alcohol | drug
quinidine | drug
cimetidine | drug
flecainide | drug
fluoxetine | drug
paroxetine | drug
fluoxetine | drug
desipramine hydrochloride | drug
desipramine | drug
chlordiazepoxide | drug
diazepam | drug
desipramine | drug
cimetidine | drug
cimetidine | drug
fluoxetine | drug
Anastrozole | drug
Anastrozole | drug
Anastrozole | drug
antipyrine | drug
antipyrine | drug
warfarin | drug
anastrozole | drug
warfarin | drug
tamoxifen | drug
tamoxifen | drug
tamoxifen | drug
anastrozole | drug
anastrozole | drug
tamoxifen | drug
anastrozole | drug
anastrozole | drug
Dexbrompheniramine | drug
alcohol | drug
atropine | drug
pralidoxime | drug
atropine | drug
pralidoxime | drug
atropine | drug
atropine | drug
pralidoxime | drug
Sulfacetamide | drug
silver | drug
butalbital | drug
Butalbital | drug
acetaminophen | drug
caffeine | drug
alcohol | drug
chlordiazepoxide | drug
Acetaminophen | drug
estradiol | drug
progesterone | drug
noradrenaline | drug
estradiol | drug
progesterone | drug
noradrenaline | drug
estradiol | drug
progesterone | drug
noradrenaline | drug
estradiol | drug
noradrenaline | drug
estradiol | drug
noradrenaline | drug
progesterone | drug
progesterone | drug
estradiol | drug
noradrenaline | drug
cefotetan | drug
Levofloxacin | drug
theophylline | drug
caffeine | drug
warfarin | drug
cyclosporine | drug
alcohol | drug
levorphanol | drug
levorphanol | drug
pentazocine | drug
nalbuphine | drug
butorphanol | drug
dezocine | drug
buprenorphine | drug
diazepam | drug
midazolam | drug
morphine | drug
metamizol | drug
indomethacin | drug
midazolam | drug
diazepam | drug
morphine | drug
metamizol | drug
indomethacin | drug
Diazepam | drug
morphine | drug
morphine | drug
diazepam | drug
metamizol | drug
indomethacin | drug
Midazolam | drug
morphine | drug
metamizol | drug
indomethacin | drug
chloramphenicol | drug
probenecid | drug
phenytoin | drug
nicotinic acid | drug
isoniazid | drug
glyburide | drug
ciprofloxacin | drug
glyburide | drug
miconazole | drug
miconazole | drug
Metformin | drug
glyburide | drug
glyburide | drug
metformin | drug
metformin | drug
phenytoin | drug
phenytoin | drug
phenytoin | drug
primidone | drug
primidone | drug
primidone | drug
Acetazolamide | drug
Acetazolamide | drug
antidiabetic | drug
Acetazolamide | drug
amphetamine | drug
Acetazolamide | drug
quinidine | drug
Acetazolamide | drug
methenamine | drug
Acetazolamide | drug
lithium | drug
lithium | drug
Acetazolamide | drug
sodium bicarbonate | drug
Acetazolamide | drug
cyclosporine | drug
Chlorotrianisene | drug
bromocriptine | drug
calcium | drug
corticotropin | drug
cyclosporine | drug
dantrolene | drug
nicotine | drug
somatropin | drug
tamoxifen | drug
warfarin | drug
idoxuridine | drug
boric acid | drug
Boric acid | drug
idoxuridine | drug
idoxuridine | drug
etomidate | drug
Probenecid | drug
etomidate | drug
Diazoxide | drug
etomidate | drug
Aminophylline | drug
Etomidate | drug
Midazolam | drug
Vitamin B3 | drug
Niacin | drug
Nicotinic acid | drug
nicotinic acid | drug
alcohol | drug
antithrombin 3 | drug
isosorbide mononitrate | drug
Alcohol | drug
ketamine | drug
halothane | drug
ketamine | drug
halothane | drug
ketamine | drug
halothane | drug
ketamine | drug
ketamine | drug
ketamine | drug
ketamine | drug
halothane | drug
ketamine | drug
ketamine | drug
halothane | drug
Terfenadine | drug
dirithromycin | drug
terfenadine | drug
terfenadine | drug
terfenadine | drug
dirithromycin | drug
terfenadine | drug
terfenadine | drug
terfenadine | drug
dirithromycin | drug
terfenadine | drug
terfenadine | drug
terfenadine | drug
terfenadine | drug
dirithromycin | drug
terfenadine | drug
terfenadine | drug
terfenadine | drug
dirithromycin | drug
dirithromycin | drug
terfenadine | drug
erythromycin | drug
terfenadine | drug
dirithromycin | drug
terfenadine | drug
terfenadine | drug
Theophylline | drug
dirithromycin | drug
theophylline | drug
theophylline | drug
dirithromycin | drug
theophylline | drug
theophylline | drug
theophylline | drug
theophylline | drug
theophylline | drug
theophylline | drug
dirithromycin | drug
dirithromycin | drug
erythromycin | drug
dirithromycin | drug
dirithromycin | drug
Triazolam | drug
Erythromycin | drug
triazolam | drug
triazolam | drug
Digoxin | drug
erythromycin | drug
digoxin | drug
digoxin | drug
erythromycin | drug
erythromycin | drug
Ergotamine | drug
erythromycin | drug
ergotamine | drug
dihydroergotamine | drug
erythromycin | drug
cyclosporine | drug
hexobarbital | drug
carbamazepine | drug
alfentanil | drug
disopyramide | drug
phenytoin | drug
bromocriptine | drug
valproate | drug
astemizole | drug
lovastatin | drug
cobalt | drug
iron | drug
cobalt | drug
iron | drug
Co | drug
Fe | drug
Cobalt | drug
cobalt | drug
iron | drug
iron | drug
cobalt | drug
cobalt | drug
Fe | drug
Fe | drug
cobalt | drug
iron | drug
cobalt | drug
cobalt | drug
iron | drug
cobalt | drug
iron | drug
iron | drug
Fe | drug
methotrexate | drug
etanercept | drug
etanercept | drug
etanercept | drug
probenecid | drug
cefprozil | drug
cefprozil | drug
alcohol | drug
spironolactone | drug
levodopa | drug
digoxin | drug
ketoconazole | drug
budesonide | drug
ketoconazole | drug
intraconazole | drug
ritonavir | drug
indinavir | drug
saquinavir | drug
erythromycin | drug
budesonide | drug
budesonide | drug
budesonide | drug
ardeparin | drug
hydrochlorothiazide | drug
digoxin | drug
warfarin | drug
cimetidine | drug
phenobarbital | drug
Rifampin | drug
losartan | drug
Ketoconazole | drug
losartan | drug
losartan | drug
erythromycin | drug
Fluconazole | drug
losartan | drug
losartan | drug
losartan | drug
losartan | drug
spironolactone | drug
triamterene | drug
amiloride | drug
potassium | drug
losartan | drug
indomethacin | drug
Mefloquine | drug
propranolol | drug
Mefloquine | drug
halofantrine | drug
Mefloquine | drug
Mefloquine | drug
quinine | drug
quinidine | drug
chloroquine | drug
Mefloquine | drug
halofantrine | drug
Mefloquine | drug
anti-arrhythmic | drug
valproic acid | drug
carbamazepine | drug
phenobarbital | drug
phenytoin | drug
Mefloquine | drug
Mefloquine | drug
Mefloquine | drug
Mefloquine | drug
Mefloquine | drug
sulfadoxine | drug
pyrimethamine | drug
colestipol hydrochloride | drug
colestipol hydrochloride | drug
colestipol hydrochloride | drug
propranolol | drug
propranolol | drug
colestipol hydrochloride | drug
propranolol | drug
propranolol | drug
propranolol | drug
chlorothiazide | drug
colestipol hydrochloride | drug
tetracycline | drug
furosemide | drug
penicillin G | drug
hydrochlorothiazide | drug
gemfibrozil | drug
colestipol hydrochloride | drug
colestipol hydrochloride | drug
colestipol hydrochloride | drug
clofibrate | drug
methyldopa | drug
nicotinic acid | drug
niacin | drug
tolbutamide | drug
phenytoin | drug
warfarin | drug
colestipol hydrochloride | drug
digoxin | drug
digitoxin | drug
colestipol hydrochloride | drug
colestipol hydrochloride | drug
phosphate | drug
hydrocortisone | drug
Fluvoxamine | drug
Fluvoxamine | drug
Terfenadine | drug
Astemizole | drug
Cisapride | drug
Terfenadine | drug
astemizole | drug
cisapride | drug
ketoconazole | drug
terfenadine | drug
astemizole | drug
cisapride | drug
fluvoxamine | drug
alprazolam | drug
fluvoxamine | drug
fluvoxamine | drug
alprazolam | drug
fluvoxamine | drug
terbinafine | drug
astemizole | drug
cisapride | drug
alprazolam | drug
midazolam | drug
triazolam | drug
fluvoxamine | drug
lorazepam | drug
oxazepam | drug
temazepam | drug
fluvoxamine | drug
Alprazolam | drug
fluvoxamine maleate | drug
alprazolam | drug
alprazolam | drug
alprazolam | drug
alprazolam | drug
fluvoxamine | drug
fluvoxamine | drug
alprazolam | drug
Fluvoxamine | drug
alprazolam | drug
Fluvoxamine | drug
Diazepam | drug
Fluvoxamine | drug
diazepam | drug
fluvoxamine | drug
diazepam | drug
fluvoxamine | drug
diazepam | drug
fluvoxamine | drug
diazepam | drug
diazepam | drug
diazepam | drug
alprazolam | drug
fluvoxamine | drug
diazepam | drug
fluvoxamine | drug
Theophylline | drug
fluvoxamine | drug
Theophylline | drug
aminophylline | drug
theophylline | drug
theophylline | drug
fluvoxamine maleate | drug
theophylline | drug
Fluvoxamine | drug
Warfarin | drug
fluvoxamine maleate | drug
warfarin | drug
warfarin | drug
Fluvoxamine | drug
Fluvoxamine | drug
Chlorthalidone | drug
Insulin | drug
chlorthalidone | drug
Chlorthalidone | drug
tubocurarine | drug
Chlorthalidone | drug
norepinephrine | drug
Metformin | drug
cephalexin | drug
metformin | drug
metformin | drug
metformin | drug
cephalexin | drug
metformin | drug
cephalexin | drug
metformin | drug
metformin | drug
cephalexin | drug
metformin | drug
Probenecid | drug
cephalexin | drug
probenecid | drug
Carbamazepine | drug
Carbamazepine | drug
carbamazepine 10,11-epoxide | drug
carbamazepine | drug
Acetazolamide | drug
cimetidine | drug
clarithromycin | drug
dalfopristin | drug
danazol | drug
delavirdine | drug
diltiazem | drug
erythromycin | drug
fluoxetine | drug
fluvoxamine | drug
isoniazid | drug
itraconazole | drug
ketoconazole | drug
loratadine | drug
nefazodone | drug
niacinamide | drug
nicotinamide | drug
propoxyphene | drug
quinine | drug
quinupristin | drug
troleandomycin | drug
valproate | drug
verapamil | drug
zileuton | drug
Carbamazepine | drug
carbamazepine | drug
Cisplatin | drug
doxorubicin HCL | drug
felbamate | drug
rifampin | drug
phenobarbital | drug
Phenytoin | drug
primidone | drug
methsuximide | drug
theophylline | drug
Carbamazepine | drug
Carbamazepine | drug
carbamazepine | drug
Acetaminophen | drug
alprazolam | drug
amitriptyline | drug
bupropion | drug
buspirone | drug
citalopram | drug
clobazam | drug
clonazepam | drug
clozapine | drug
cyclosporin | drug
delavirdine | drug
desipramine | drug
diazepam | drug
dicumarol | drug
doxycycline | drug
ethosuximide | drug
felbamate | drug
felodipine | drug
haloperidol | drug
itraconazole | drug
lamotrigine | drug
levothyroxine | drug
lorazepam | drug
methadone | drug
midazolam | drug
mirtazapine | drug
nortriptyline | drug
olanzapine | drug
oxcarbazepine | drug
Phenytoin | drug
praziquantel | drug
quetiapine | drug
risperidone | drug
theophylline | drug
topiramate | drug
tiagabine | drug
tramadol | drug
triazolam | drug
valproate | drug
warfarin | drug
ziprasidone | drug
zonisamide | drug
Carbamazepine | drug
Clomipramine HCl | drug
Phenytoin | drug
primidone | drug
Carbamazepine | drug
carbamazepine | drug
lithium | drug
carbamazepine | drug
chloroquine | drug
mefloquine | drug
carbamazepine | drug
alcohol | drug
phenobarbitone | drug
phenytoin | drug
alcohol | drug
methyldopa | drug
mecamylamine | drug
reserpine | drug
veratrum alkaloids | drug
pseudoephedrine | drug
pseudoephedrine | drug
kaolin | drug
phenytoin | drug
propranolol | drug
nifedipine | drug
chlordiazepoxide | drug
diazepam | drug
lidocaine | drug
theophylline | drug
metronidazole | drug
phenytoin | drug
lidocaine | drug
theophylline | drug
theophylline | drug
theophylline | drug
theophylline | drug
ketoconazole | drug
cimetidine | drug
alcohol | drug
ethinamate | drug
guanethidine | drug
clonidine | drug
CMI | drug
CMI | drug
haloperidol | drug
methylphenidate | drug
cimetidine | drug
fluoxetine | drug
phenytoin | drug
CMI | drug
CMI | drug
phenobarbital | drug
quinidine | drug
cimetidine | drug
propafenone | drug
flecainide | drug
fluoxetine | drug
sertraline | drug
paroxetine | drug
fluvoxamine | drug
Fluvoxamine | drug
fluoxetine | drug
warfarin | drug
digoxin | drug
cefamandole naftate | drug
cephalothin sodium | drug
magnesium sulfate | drug
prednisolone sodium succinate | drug
prochlorperazine edisylate | drug
dorzolamide | drug
dorzolamide | drug
amphotericin B | drug
amphotericin B | drug
amphotericin B | drug
amphotericin B | drug
amphotericin B | drug
adenosine | drug
quinidine | drug
Digoxin | drug
verapamil | drug
adenosine | drug
caffeine | drug
theophylline | drug
adenosine | drug
adenosine | drug
Adenosine | drug
dipyridamole | drug
adenosine | drug
dipyridamole | drug
Carbamazepine | drug
adenosine | drug
carbamazepine | drug
cyclosporine | drug
azathioprine | drug
mycophenolate mofetil | drug
azathioprine | drug
mycophenolate mofetil | drug
cyclosporine | drug
azathioprine | drug
mycophenolate mofetil | drug
azathioprine | drug
cyclosporine | drug
mycophenolate mofetil | drug
muromonab-CD3 | drug
radiopertechnetate | drug
radiopertechnetate | drug
pertechnetate | drug
radiopertechnetate | drug
pertechnetate | drug
calcium | drug
calcium | drug
calcium acetate | drug
calcium | drug
alcohol | drug
Acamprosate | drug
alcohol | drug
acamprosate | drug
disulfiram | drug
diazepam | drug
acamprosate | drug
naltrexone | drug
Acamprosate | drug
acamprosate | drug
naltrexone | drug
Acamprosate | drug
Acamprosate | drug
Acamprosate | drug
Fluvoxamine | drug
tolbutamide | drug
fluvoxamine | drug
tolbutamide | drug
fluvoxamine | drug
tolbutamide | drug
fluvoxamine | drug
tolbutamide | drug
tolbutamide | drug
tolbutamide | drug
fluvoxamine | drug
tolbutamide | drug
tolbutamide | drug
tolbutamide | drug
tolbutamide | drug
fluvoxamine | drug
Fluvoxamine | drug
Clozapine | drug
Clozapine | drug
Clozapine | drug
Clozapine | drug
alcohol | drug
clozapine | drug
Clozapine | drug
Clozapine | drug
clozapine | drug
Clozapine | drug
atropine | drug
epinephrine | drug
epinephrine | drug
Clozapine | drug
clozapine | drug
Phenytoin | drug
nicotine | drug
rifampin | drug
Clozapine | drug
Clozapine | drug
clozapine | drug
Cimetidine | drug
caffeine | drug
erythromycin | drug
Clozapine | drug
Clozapine | drug
carbamazepine | drug
carbamazepine | drug
Clozapine | drug
clozapine | drug
fluvoxamine | drug
paroxetine | drug
clozapine | drug
fluvoxamine | drug
Paroxetine | drug
clozapine | drug
clozapine | drug
clozapine | drug
paroxetine | drug
fluoxetine | drug
sertraline | drug
Clozapine | drug
fluvoxamine | drug
Clozapine | drug
debrisoquin | drug
dextromethorphan | drug
clozapine | drug
clozapine | drug
clozapine | drug
clozapine | drug
clozapine | drug
clozapine | drug
carbamazepine | drug
propafenone | drug
flecainide | drug
encainide | drug
quinidine | drug
griseofulvin | drug
alcohol | drug
clonidine | drug
phenobarbital | drug
phenytoin | drug
rifampin | drug
troleandomycin | drug
ketoconazole | drug
corticosteroid | drug
insulin | drug
disopyramide | drug
fluoxetine | drug
propoxyphene | drug
octreotide | drug
niacin | drug
danazol | drug
epinephrine | drug
salbutamol | drug
terbutaline | drug
isoniazid | drug
somatropin | drug
clonidine | drug
lithium | drug
alcohol | drug
insulin | drug
Pentamidine | drug
clonidine | drug
guanethidine | drug
reserpine | drug
NPH human insulin | drug
NPH human insulin | drug
zinc insulin | drug
insulin | drug
insulin | drug
docetaxel | drug
cyclosporine | drug
terfenadine | drug
ketoconazole | drug
erythromycin | drug
troleandomycin | drug
Alcohol | drug
cimetidine | drug
penicillin | drug
aluminum | drug
calcium | drug
magnesium | drug
iron | drug
tetracycline | drug
bismuth subsalicylate | drug
carbamazepine | drug
phenytoin | drug
doxycycline | drug
tetracycline | drug
methoxyflurane | drug
tetracycline | drug
Fentanyl | drug
fentanyl | drug
ritonavir | drug
ketoconazole | drug
itraconazole | drug
troleandomycin | drug
clarithromycin | drug
nelfinavir | drug
fentanyl | drug
diltiazem | drug
erythromycin | drug
fentanyl | drug
fentanyl | drug
fentanyl | drug
alcohol | drug
miconazole | drug
miconazole | drug
miconazole nitrate | drug
Carbamazepine | drug
carbamazepine | drug
carbamazepine | drug
Warfarin | drug
cefixime | drug
nitroprusside | drug
nitroferricyanide | drug
nifedipine | drug
Nifedipine | drug
digoxin | drug
digoxin | drug
nifedipine | drug
digoxin | drug
nifedipine | drug
nifedipine | drug
digoxin | drug
digoxin | drug
digoxin | drug
digoxin | drug
digoxin | drug
digoxin | drug
nifedipine | drug
Quinidine | drug
quinidine | drug
nifedipine | drug
quinidine | drug
nifedipine | drug
nifedipine | drug
Cimetidine | drug
nifedipine | drug
cimetidine | drug
nifedipine | drug
Ranitidine | drug
cimetidine | drug
nifedipine | drug
nifedipine | drug
