Antiarrhythmics | group
non-steroidal anti-inflammatory | group
anticholinergics | group
phenothiazines | group
antiparkinson drugs | group
tricyclic antidepressants | group
contraceptives | group
ACE inhibitors | group
angiotensin II receptor antagonists | group
psychotropic drugs | group
narcotics | group
analgesics | group
antiemetics | group
sedatives | group
tranquilizers | group
aminoglycosides | group
cytotoxic | group
antineoplastic agents | group
antineoplastic agents | group
glucocorticoids | group
Beta-blockers | group
antihypertensives | group
Iodinated Contrast Media | group
radiographic iodinated contrast media | group
beta-blockers | group
tricyclic antidepressants | group
TCAs | group
TCA | group
antidepressants | group
phenothiazines | group
Type 1C antiarrhythmics | group
selective serotonin reuptake inhibitors | group
SSRIs | group
SSRI | group
TCA | group
SSRI | group
TCAs | group
SSRIs | group
tricyclic antidepressants | group
tricyclic antidepressant | group
tricyclic antidepressant | group
TCA | group
TCA | group
selective serotonin reuptake inhibitors | group
SSRIs | group
MAO Inhibitors | group
MAO inhibitors | group
MAO inhibitors | group
MAO inhibitor | group
tricyclic antidepressants | group
tricyclic antidepressant | group
tricyclic antidepressant | group
tricyclic antidepressants | group
tricyclic antidepressant | group
Calcium channel blocking agents | group
calcium channel blockers | group
Beta-adrenergic blocking agents | group
beta-adrenergic blocking agents | group
Digitalis | group
catecholamines | group
catecholamines | group
thiazides | group
diuretics | group
corticosteroids | group
phenothiazines | group
thyroid products | group
estrogens | group
contraceptives | group
sympathomimetics | group
calcium channel-blocking drugs | group
sulfonylureas | group
Intestinal adsorbents | group
digestive enzyme preparations | group
Monoamine oxidase inhibitors | group
MAOI | group
MAOI | group
Tricyclic antidepressants | group
Tricyclic antidepressants | group
antiepileptic drugs | group
barbiturates | group
tetracyclines | group
hormonal contraceptives | group
contraceptive | group
combined hormonal contraceptives | group
contraceptives | group
non-depolarising muscle relaxant | group
aminoglycosides | group
antiarrhythmic agent | group
sympathomimetics | group
tricyclic antidepressants | group
Antibiotics | group
Anticholinergics | group
anticholinergic compounds | group
belladonna alkaloids | group
Anticoagulants | group
anticoagulants | group
anticoagulant | group
Antidepressants | group
Antifungals | group
H2 Receptor Antagonists | group
Protease Inhibitors | group
antiarrhythmics | group
tricyclic antidepressants | group
tetracyclic antidepressants | group
antipsychotic medications | group
thiazide diuretics | group
peripherally restricted opioid antagonist | group
opioid | group
immunosuppressants | group
Vitamin A | group
vitamin A | group
vitamin supplements | group
vitamin A | group
Tetracyclines | group
tetracyclines | group
tetracyclines | group
estrogen | group
hormonal contraceptives | group
combined oral contraceptives | group
hormonal contraceptives | group
Systemic Corticosteroids | group
Systemic corticosteroids | group
systemic corticosteroids | group
hormonal contraceptives | group
combined hormonal contraceptives | group
cephalosporins | group
aminoglycoside antibiotics | group
beta adrenergic antagonists | group
imidazole compounds | group
coumarin | group
imidazole drugs | group
coumarin drugs | group
imidazole | group
hypoglycemic agents | group
imidazole | group
aminoglycosides | group
polymyxins | group
coumarin | group
anticoagulants | group
tricyclic antidepressants | group
beta-receptor agonist drugs | group
beta-agonist bronchodilator drugs | group
calcium antagonist | group
beta-blockers | group
Uricosuric Agents | group
Corticosteroids | group
Pyrazolone Derivatives | group
salicylate | group
Antacids | group
antacids | group
benzodiazepines | group
barbiturates | group
benzodiazepines | group
phenothiazines | group
barbiturates | group
MAO inhibitors | group
antidepressants | group
antibiotics | group
MAO inhibitors | group
antibiotics | group
MAO inhibitors | group
MAO inhibitor | group
MAO inhibitors | group
MAO inhibitors | group
non-selective MAO inhibitor | group
MAO inhibitor | group
tricyclic antidepressant | group
blood thinner | group
antidepressants | group
antihistamines | group
estrogens | group
muscle relaxants | group
anesthetics | group
protease inhibitors | group
macrolide antibiotics | group
calcium channel antagonists | group
oxytocic drugs | group
oxytocic agents | group
hypotensive drugs | group
ganglionic blocking agents | group
anesthetics | group
blood thinner | group
decongestant drugs | group
NSAIDs | group
narcotic analgesic | group
anesthetics | group
phenothiazines | group
tranquilizers | group
sedative-hypnotics | group
tricyclic antidepressants | group
CNS depressants | group
CNS depressant drugs | group
Antihistamines | group
monoamine oxidase inhibitors | group
MAOIs | group
serotoninergic agents | group
MAO inhibitor | group
MAO inhibitor | group
MAO inhibitor | group
selective serotonin reuptake inhibitors | group
SSRIs | group
serotoninergic agents | group
barbiturates | group
narcotics | group
anesthetic agents | group
erection-supporting medication | group
erection-supporting medication | group
long-acting nitrates | group
short-acting nitrates | group
beta-receptor blockers | group
calcium antagonists | group
thiazide diuretics | group
loop diuretics | group
ACE inhibitors | group
MAO inhibitors | group
antihistamines | group
Antihistamines | group
CNS depressants | group
hypnotics | group
sedatives | group
tranquilizers | group
antianxiety agents | group
Aminoglycosides | group
aminoglycoside | group
aminoglycoside | group
non-depolarizing muscle relaxants | group
Anticoagulants | group
anticoagulants | group
selective Ca(2+) channel blockers | group
thiazide diuretics | group
beta-blocking agent | group
nonsteroidal anti-inflammatory drugs | group
Analgesic | group
anti-inflammatory | group
Antibiotics | group
Antihistamines | group
chlorpheniramine | group
Corticosteroids | group
antacids | group
Hypoglycemics | group
Sedatives | group
tranquilizers | group
CNS depressants | group
antihistamines | group
anticholinergics | group
antihistamines | group
monoamine oxidase (MAO) inhibitors | group
antihistamines | group
antihistamines | group
anticonvulsant agents | group
adrenergic drugs | group
methylxanthines | group
steroids | group
diuretics | group
adrenergic agonists | group
non-potassium sparing diuretics | group
loop diuretics | group
thiazide diuretics | group
beta-agonists | group
beta-agonist | group
beta-agonists | group
non-potassium sparing diuretics | group
beta2-agonists | group
monoamine oxidase inhibitors | group
tricyclic antidepressants | group
adrenergic agonists | group
methylxanthines | group
Beta-adrenergic receptor antagonists | group
beta-blockers | group
Beta-blockers | group
beta-agonists | group
beta-blockers | group
beta-blockers | group
cardioselective beta-blockers | group
non-nucleoside reverse transcriptase inhibitors | group
antiretroviral | group
non-nucleoside reverse transcriptase inhibitor | group
NNRTI | group
antiretroviral | group
protease inhibitor | group
PI | group
NNRTI | group
PI | group
PI | group
PI | group
PI | group
NNRTI | group
NNRTIs | group
NNRTIs | group
antibacterial drug | group
anticoagulants | group
Platelet inhibitors | group
Digitalis | group
tetracyclines | group
antihistamines | group
ACTH | group
adrenocortical steroid | group
ACTH | group
ACTH | group
hypoglycemics | group
antidiabetic agents | group
antidiabetic medication | group
beta-blocker | group
beta-adrenergic blocking agents | group
calcium antagonists | group
beta-adrenergic blocking agents | group
digitalis | group
calcium antagonist | group
Phenothiazine-related compounds | group
beta-adrenergic blocking agents | group
atypical antipsychotic | group
uricosuric medication | group
antifungal agents | group
OCs | group
macrolide antibiotics | group
MAO inhibitors | group
CNS depressants | group
barbiturates | group
opiates | group
sedatives | group
anesthetics | group
Tricyclic antidepressants | group
tricyclic antidepressants | group
neuroleptic | group
beta-blockers | group
antihypertensives | group
cardiac glycosides | group
Antineoplastic agents | group
Antineoplastic agents | group
Corticosteroids | group
ACTH | group
Digitalis glycosides | group
digitalis | group
Imidazoles | group
imidazoles | group
imidazoles | group
aminoglycosides | group
Skeletal muscle relaxants | group
skeletal muscle relaxants | group
ACE inhibitors | group
fibrates | group
MAO inhibitors | group
salicylates | group
somatostatin analog | group
sulfonamide antibiotics | group
corticosteroids | group
diuretics | group
sympathomimetic agents | group
phenothiazine derivatives | group
thyroid hormones | group
estrogens | group
progestogens | group
contraceptives | group
Beta-blockers | group
beta-blockers | group
Monoamine oxidase (MAO) inhibitors | group
antithyroid agents | group
Antithyroid agents | group
anticoagulants | group
anticoagulant | group
psychoactive drugs | group
CNS depressants | group
barbiturates | group
narcotic analgesics | group
Antacids | group
antacids | group
antacid | group
Quinolone Antibiotic | group
antacids | group
quinolone antibiotics | group
antacids | group
quinolone | group
Antiretroviral Drugs | group
Broad-Spectrum Antibiotics | group
Broad-spectrum antibiotics | group
vitamin K | group
Cephalosporins | group
Cephalosporins | group
cephalosporins | group
vitamin K | group
vitamin K | group
vitamin K | group
vitamin K | group
vitamin K | group
vitamin K | group
vitamin K | group
Salicylates | group
Salicylates | group
Vitamin K | group
antihistaminics | group
antihistaminics | group
analgesic agents | group
analgesic adjuvants | group
antihistaminics | group
antihistaminic | group
antihistaminics | group
antihistaminics | group
glitazones | group
thiazolidinediones | group
antidiabetic agents | group
glitazones | group
Short-Acting beta2-agonists | group
bronchodilators | group
sympathomimetic agents | group
Monoamine Oxidase Inhibitors | group
Tricyclic Antidepressants | group
monoamine oxidase inhibitors | group
tricyclic antidepressants | group
Corticosteroids | group
Methylxanthines | group
Diuretics | group
xanthine derivatives | group
steroids | group
diuretics | group
beta2-agonists. | group
digitalis | group
phenothiazines | group
antihistamines | group
tricyclic antidepressants | group
beta2-agonist | group
short-acting, inhaled beta2-agonists | group
short-acting, inhaled beta2-agonists | group
corticosteroids | group
short-acting  beta2-agonists | group
protease inhibitors | group
corticosteroids | group
H2 antagonists | group
bronchodilators | group
anticoagulants | group
blood thinner | group
barbiturates | group
central nervous system (CNS) depressants | group
barbiturates | group
barbiturates | group
contraceptives | group
estrogens | group
barbiturates | group
contraceptives | group
vasoconstrictor drugs | group
neuromuscular blocking agents | group
Anticholinesterases | group
anesthetics | group
anesthetics | group
beta-blockers | group
calcium channel blockers | group
diuretics | group
diuretic | group
diuretic | group
diuretic | group
ACE inhibitors | group
diuretics | group
ACE inhibitor | group
diuretic | group
Non-steroidal Anti-inflammatory Agents | group
non-steroidal anti-inflammatory drugs | group
NSAIDs | group
ACE inhibitors | group
NSAIDs | group
ACE inhibitors | group
nitrates | group
thiazide-type diuretics | group
potassium-sparing diuretics | group
ACE inhibitors | group
ACE inhibitor | group
rauwolfia alkaloid | group
MAO inhibitors | group
opioid | group
antacid preparations | group
antacid preparations | group
anticoagulants | group
anticoagulant | group
fibrate | group
fibrate | group
fibrates | group
fibrates | group
fibrates | group
sympathomimetic amines | group
monoamine oxidase inhibitors | group
CNS stimulants | group
Amphetamines | group
antihypertensives | group
Amphetamines | group
tricyclic antidepressants | group
amphetamines | group
amphetamines | group
CNS depressants | group
MAO inhibitors | group
tricyclic antidepressants | group
phenothiazines | group
azole antifungals | group
protease inhibitors | group
HIV Protease Inhibitors | group
Nitrates | group
nitrates | group
nitrates | group
nitrates | group
Alpha-blockers | group
alpha-blockers | group
alpha-blocker | group
Antipsychotic drugs | group
phenothiazines | group
tricyclic antidepressants | group
CNS depressants | group
barbiturates | group
tranquilizers | group
opioids | group
anesthetics | group
volatile inhalation anesthetics | group
bacteriostatic antibiotic | group
non-steroidal anti-inflammatory drugs | group
beta-blocking agents | group
myocardial depressants | group
calcium antagonists | group
phenylalkylamine | group
benzothiazepine | group
antiarrhythmic agents | group
thiazide diuretics | group
beta-blockers | group
ACE-inhibitors | group
NSAIDs | group
ACE-inhibitors | group
NSAIDs | group
ACE-inhibitors | group
Antacids | group
antacids | group
antacids | group
NSAIDs | group
NSAIDs | group
NSAID | group
Diuretics | group
thiazides | group
NSAIDs | group
NSAIDs | group
NSAID | group
NSAIDs | group
NSAIDs | group
benzodiazepines | group
psychotropic medications | group
anticonvulsants | group
antihistaminics | group
contraceptives | group
benzodiazepines | group
benzodiazepines | group
benzodiazepines | group
macrolide antibiotics | group
benzodiazepines | group
Anticoagulants | group
anticoagulants | group
Anticoagulants | group
vitamin K antagonists | group
vitamin K antagonists | group
vitamin K antagonists | group
Cholinesterase Inhibitors | group
cholinesterase inhibitors | group
anticoagulant | group
loop diuretics | group
diuretics | group
antihypertensive agents | group
vasodilators | group
antiplatelet agents | group
anticoagulants | group
anticoagulants | group
diuretics | group
anticoagulants | group
vasodilators | group
diuretic | group
antihypertensive agents | group
diuretics | group
Non-steroidal Anti-inflammatory Agents | group
nonsteroidal anti-inflammatory drugs | group
NSAIDs | group
ACE inhibitors | group
NSAIDs | group
ACE inhibitors | group
beta adrenergic-blocking agents | group
nitrates | group
calcium-blocking agents | group
digitalis | group
thiazide-type diuretics | group
Potassium-sparing diuretics | group
ACE inhibitors | group
Beta-Blockers | group
beta-blockers | group
digitalis | group
antihypertensive agents | group
alpha-blockers | group
calcium channel-blockers | group
ACE inhibitors | group
diuretics | group
thiazide | group
anticoagulants | group
central nervous system depressants | group
interleukin-1 antagonist | group
TNF-blocking agent | group
TNF-blocking agents | group
centrally acting drugs | group
antihypertensive agents | group
calcium channel blockers | group
antihypertensive compounds | group
MAO inhibitor | group
psychotropic agents | group
tricyclics | group
amphetamines | group
barbiturates | group
salicylates | group
diuretics | group
corticosteroids | group
thyroid hormone | group
corticosteroids | group
sex steroids | group
Hormonal Contraceptives | group
Contraceptives | group
hormonal contraceptive | group
hormonal contraceptives | group
hypoglycemic agents | group
hypoglycemic agents | group
Statins | group
statins | group
statin | group
statins | group
statin | group
central nervous system stimulants | group
phenothiazines | group
emetic | group
vasodilators | group
calcium channel blockers | group
nitrates | group
antipsychotic agents | group
CNS depressants | group
anesthetics | group
opiates | group
Antihistamines | group
antidiabetic drugs | group
diuretics | group
digitalis | group
Beta-adrenergic blocking agents | group
Beta-adrenergic blocking agents | group
Antidepressants | group
tricyclic | group
anticholinergic agents | group
digitalis glycosides | group
methylxanthines | group
quinolone class | group
Non-steroidal anti-inflammatory agents | group
nonsteroidal anti-inflammatory drug | group
antacids | group
Quinolones | group
quinolones | group
antacids | group
multivitamins | group
quinolone | group
Antacids | group
methylxanthines | group
Quinolones | group
Ergot-Containing Drugs | group
ergot-type medications | group
Monoamine Oxidase Inhibitors | group
5-HT1B/1D Agonists | group
5-HT1B/1D agonists | group
Selective Serotonin Reuptake Inhibitors | group
SSRIs | group
SSRIs | group
5-HT1 agonists | group
SSRI | group
anticholinergic drugs | group
antiarrhythmic agents | group
antihistamines | group
antipsychotic agents | group
phenothiazines | group
benzodiazepines | group
MAO inhibitors | group
narcotic analgesics | group
nitrates | group
nitrites | group
sympathomimetic agents | group
tricyclic antidepressants | group
Anticholinergics | group
antiglaucoma agents | group
Anticholinergic drugs | group
Anticholinergic agents | group
Anticholinergic drugs | group
antacids | group
anticholinergic agents | group
anticholinergic drugs | group
Immunosuppressive drugs | group
immunosuppressive drugs | group
immunosuppressive drugs | group
corticosteroids | group
antibiotics | group
immunosuppressive drugs | group
Acellular vaccines | group
live vaccines | group
live-attenuated vaccines | group
CNS depressants | group
antihistamines | group
anticholinergics | group
antihistamines | group
monoamine oxidase (MAO) inhibitors | group
antihistamines | group
antihistamines | group
sympathomimetic bronchodilators | group
methylxanthines | group
steroids | group
Anticholinergic agents | group
anticholinergic medications | group
anticholinergic | group
5-HT3 antiemetics | group
CENTRAL NERVOUS SYSTEM DEPRESSANTS | group
NARCOTICS | group
NON-NARCOTIC ANALGESICS | group
BARBITURATES | group
central nervous system depressants | group
CNS depressant drugs | group
NSAIDs | group
NSAIDs | group
Barbiturates | group
contraceptives | group
antibiotics | group
corticosteroids | group
anticoagulants | group
beta blockers | group
Acidifying agents | group
Gastrointestinal acidifying agents | group
amphetamines | group
Urinary acidifying agents | group
amphetamines | group
Adrenergic blockers | group
Adrenergic blockers | group
amphetamines | group
thiazides | group
amphetamines | group
Antidepressants | group
tricyclic | group
Amphetamines | group
tricyclic | group
sympathomimetic agents | group
tricyclics | group
MAO inhibitors | group
MAOI antidepressants | group
amphetamine | group
amphetamines | group
Antihistamines | group
Amphetamines | group
antihistamines | group
Antihypertensives | group
Amphetamines | group
antihypertensives | group
amphetamines | group
amphetamine | group
Amphetamines | group
amphetamines | group
amphetamines | group
Amphetamines | group
amphetamines | group
acidifying agents | group
Amphetamines | group
Amphetamines | group
Amphetamines | group
amphetamine | group
Veratrum alkaloids | group
Amphetamines | group
veratrum alkaloids | group
Amphetamines | group
corticosteroid | group
Amphetamines | group
NSAIDs | group
corticosteroids | group
TNF blocking agents | group
NSAIDs | group
corticosteroids | group
TNF blocking agents | group
TNF antagonist | group
TNF antagonists | group
TNF antagonists | group
antibiotics | group
antibiotics | group
antibiotics | group
oxytocics | group
corticosteroid | group
Antiretroviral | group
Contraceptives | group
contraceptives | group
antacids | group
H2-Receptor Antagonists | group
H2 receptor antagonists | group
b-lactam antibiotics | group
Cephalosporins | group
sulfonylurea | group
nonsteroidal anti-inflammatory agents | group
salicylates | group
sulfonamides | group
coumarins | group
monoamine oxidase inhibitors | group
beta adrenergic blocking agents | group
thiazides | group
diuretics | group
corticosteroids | group
phenothiazines | group
estrogens | group
contraceptives | group
sympathomimetics | group
calcium channel blocking drugs | group
barbiturates | group
barbiturates | group
hypoglycemic agents | group
atypical neuroleptic | group
ACE inhibitors | group
chemotherapeutic agents | group
anticonvulsant | group
anticonvulsant | group
Antiarrhythmics | group
Ergot Derivatives | group
ergot | group
Antimycobacterial Agents | group
antiretroviral | group
protease inhibitor | group
HMG-CoA Reductase Inhibitors | group
Sedatives | group
Hypnotics | group
calcium channel blockers | group
ergot derivatives | group
antihypertensive medications | group
beta-adrenergic blocking agent | group
beta-blocker | group
antidepressants of the MAO inhibitor class | group
salicylate | group
nonsteroidal anti-inflammatory drug | group
NSAID | group
monoamine oxidase inhibitor | group
MAOI | group
beta-blocker | group
diuretic | group
steroid medicine | group
phenothiazine | group
Angiotensln Converting Enzyme Inhibitors | group
angiotensin converting enzyme inhibitors | group
CNS depressants | group
antihistamines | group
anticholinergics | group
antihistamines | group
monoamine oxidase (MAO) inhibitors | group
aminoglycoside | group
antibiotics | group
penicillins | group
cephalosporins | group
aminoglycoside | group
penicillin | group
aminoglycoside | group
aminoglycoside | group
Antacids | group
antacid | group
Anticoagulants | group
nonsteroidal anti-inflammatory drugs | group
anti-coagulants | group
anticoagulants | group
nonsteroidal anti-inflammatory drugs | group
Beta-adrenergic Blocking Agents | group
beta-blocker | group
Diuretics | group
nonsteroidal anti-inflammatory drugs | group
nonsteroidal anti-inflammatory drugs | group
thiazide diuretics | group
potassium-sparing diuretics | group
diuretics | group
Hypoglycemic Agents | group
hypoglycemic agents | group
barbiturates | group
tetracyclines | group
steroids | group
nitric oxide donor compounds | group
anticoagulant | group
organophosphorous compound | group
central nervous system depressants | group
antituberculous drugs | group
antimuscarinics | group
phenothiazines | group
monoamine oxidase (MAO) inhibitors | group
tricyclic antidepressants | group
antihistamines | group
Antacids | group
antacids | group
quinolone | group
quinolones | group
Quinolones | group
Quinolones | group
anticoagulant | group
Antacids | group
multivitamins | group
quinolones | group
quinolones | group
thrombolytics | group
coumarin derivatives | group
vitamin K antagonists | group
calcium channel blockers | group
low molecular weight heparins | group
Vasoconstrictors | group
peripheral vasoconstrictors | group
Beta Blockers | group
Macrolide Antibiotics | group
ergot alkaloid class | group
antibiotics | group
macrolide class | group
antibiotics | group
SSRIs | group
5-HT1 agonists | group
SSRIs | group
SSRIs | group
Contraceptives | group
contraceptives | group
azole antifungal | group
HMG-CoA reductase inhibitors | group
immunosuppressive drugs | group
coumarin | group
coumarin | group
azole antifungal agents | group
azole antifungal agents | group
hypoglycemic agents | group
hypoglycemic agents | group
dihydropyridine calcium channel blockers | group
interleukin-1 antagonist | group
TNFa-blocking agents | group
nonsteroidal anti-inflammatory agents | group
corticosteroids | group
narcotics | group
antibiotics | group
antivirals | group
corticosteroids | group
nonsteroidal anti-inflammatory agents | group
corticosteroids | group
immunosuppressants | group
immunosuppressants | group
corticosteroids | group
antibiotics | group
beta-adrenergic receptor blocking agents | group
Anesthetics | group
anesthetics | group
Antidiabetic drugs | group
antidiabetic drug | group
beta-blockers | group
opiate | group
CNS depressants | group
hypnotics | group
sedatives | group
tranquilizers | group
MAO inhibitors | group
antihistamines | group
adrenal corticosteroids | group
potassium-depleting diuretics | group
benzothiadiazines | group
Digitalis glycosides | group
digitalis | group
anticoagulants | group
anticoagulant | group
Antidiabetic drugs | group
antidiabetic drug | group
salicylate | group
steroids | group
salicylate | group
salicylate | group
Barbiturates | group
steroid | group
steroid | group
Anabolic steroids | group
androgens | group
Vaccines | group
Estrogen | group
corticosteroids | group
estrogen | group
corticosteroid | group
estrogen | group
Corticosteroids | group
antibiotics | group
bronchodilators | group
vitamins | group
corticosteroids | group
analgesics | group
vasopressors | group
monoamine oxidase (MAO) inhibitors | group
sympathomimetic drugs | group
halogenated hydrocarbon general anesthetics | group
beta-adrenergic blocking drug | group
digitalis | group
glycosides | group
sympathomimetic drugs | group
Diuretic agents | group
antacids | group
quinolones | group
quinolones | group
sulfonylurea | group
Histamine H2-receptor antagonists | group
Histamine H2-receptor antagonists | group
quinolone | group
antacids | group
antacids | group
Non-steroidal anti-inflammatory drugs | group
quinolones | group
quinolones | group
Quinolones | group
anticoagulant | group
anticholinesterase drugs | group
acidifying agents | group
alkalinizing agents | group
CNS depressants | group
sympathomimetic agents | group
neuromuscular blocking agents | group
antibiotics | group
aminoglycosides | group
tetracyclines | group
bacitracin | group
polymyxins | group
anesthetics | group
nondepolarizing neuromuscular blocking agents | group
proton pump inhibitors | group
proton pump inhibitors | group
antacids | group
Phenothiazines | group
phenothiazine | group
antibiotics | group
vasopressors | group
cardiac glycosides | group
diuretics | group
lung surfactant | group
pulmonary surfactant | group
solvent | group
lung surfactant | group
HMG-CoA Reductase Inhibitors | group
Inhibitors of HMG-CoA reductase | group
HMG-CoA reductase inhibitors | group
HMG-CoA reductase inhibitors | group
central nervous system depressants | group
barbiturates | group
tranquilizers | group
antihistamines | group
central nervous system depressant | group
opioids | group
nasal vasoconstrictor | group
nasal vasoconstrictor | group
MAO inhibitors | group
MAO inhibitors | group
barbiturates | group
CNS depressants | group
Tricyclic antidepressants | group
Tricyclic antidepressants | group
sympathomimetic | group
monoamine oxidase inhibiting drugs | group
muscle relaxants | group
muscle relaxant drugs | group
anesthetic solutions | group
monoamine oxidase inhibitors | group
tricyclic antidepressants | group
phenothiazines | group
vasopressor drugs | group
ergot-type oxytocic drugs | group
sulfonamides | group
sulfonamide drug | group
anticoagulants | group
nitrites | group
Anesthetics | group
Sedatives | group
Hypnotics | group
Opioids | group
anesthetics | group
sedatives | group
hypnotics | group
opioids | group
anesthetic | group
sedative | group
hypnotic | group
opioid | group
Neuromuscular Blockers | group
progestin | group
anticonvulsants | group
barbiturates | group
antituberculosis drug | group
antibiotics | group
thiazide diuretics | group
diuretic | group
Anticoagulants | group
Thyroid hormones | group
anticoagulants | group
anticoagulants | group
thyroid | group
anticoagulant | group
Hypoglycemics | group
hypoglycemic | group
thyroid preparations | group
hypoglycemics | group
thyroid hormones | group
thyroid hormones | group
Estrogen | group
Contraceptives | group
Estrogens | group
estrogens | group
thyroid | group
thyroid | group
estrogens | group
estrogen | group
contraceptives | group
Tricyclic Antidepressants | group
thyroid products | group
tricyclic antidepressants | group
Thyroid hormone | group
Digitalis | group
Thyroid preparations | group
digitalis | group
digitalis | group
thyroid preparation | group
anesthetic | group
Vasopressor | group
thyroid preparations | group
thyroid hormone | group
androgens | group
corticosteroids | group
estrogens | group
contraceptives | group
estrogens | group
iodine | group
salicylates | group
estrogens | group
estrogen | group
contraceptives | group
androgen | group
corticosteroid | group
salicylates | group
iodine | group
thyroid hormone | group
Antiretroviral Agents | group
antiretroviral medications | group
antiretroviral medication | group
contraceptives | group
antiretroviral | group
Aminoglycosides | group
aminoglycosides | group
Antacid Products | group
antacid products | group
antacids | group
Antacids | group
antacids | group
antacids | group
antacid | group
quinolones | group
quinolones | group
quinolone class | group
Quinolones | group
anticoagulant | group
Anticonvulsants | group
anticonvulsant | group
beta-adrenergic receptor blockers | group
calcium channel antagonists | group
angiotensin converting enzyme inhibitors | group
nitrates | group
anticoagulants | group
thrombolytics | group
anti platelet agents | group
diagnostic monoclonal antibodies | group
therapeutic monoclonal antibodies | group
beta blocker | group
calcium channel blocker | group
fat-soluble vitamins | group
vitamin D preparations | group
thiazide diuretics | group
Antidiabetic drug | group
anesthetics | group
antihypertensive drugs | group
phenothiazines | group
antiepileptic drugs | group
Contraceptive | group
Antacid | group
antiepileptic drugs | group
MAO inhibitors | group
diuretic agents | group
Tricyclic antidepressants | group
beta-adrenergic blocking agents | group
alpha-adrenergic blocking agents | group
alpha-adrenergic blocking agents | group
Butyrophenones | group
phenothiazines | group
halogenated hydrocarbon anesthetics | group
catecholamines | group
catecholamines | group
halogenated hydrocarbon anesthetics | group
vasopressor | group
oxytocic drugs | group
anticonvulsant | group
broad-spectrum antibiotics | group
contraceptives | group
anticoagulants | group
anticoagulant | group
anticoagulant | group
anticoagulant | group
anticoagulants | group
vitamin K | group
anticoagulant | group
anticoagulant | group
anticoagulant | group
adrenocortical steroids | group
antacids | group
antihistamines | group
barbiturates | group
vitamin K | group
diuretics | group
contraceptives | group
anticoagulant | group
adrenocortical steroids | group
antacids | group
antihistamines | group
barbiturates | group
vitamin K | group
diuretics | group
contraceptives | group
anticoagulant | group
anabolic steroids | group
antibiotics | group
diuretics | group
influenza virus vaccine | group
anesthetics | group
monoamine oxidase inhibitors | group
prolonged narcotics | group
pyrazolones | group
salicylates | group
sulfonamides | group
thyroid drugs | group
anticoagulant | group
anabolic steroids | group
antibiotics | group
influenza virus vaccine | group
anesthetics | group
monoamine oxidase inhibitors | group
prolonged narcotics | group
pyrazolones | group
salicylates | group
sulfonamides | group
thyroid drugs | group
anticoagulants | group
hypoglycemic agents | group
anticoagulants | group
anticonvulsant | group
anticoagulant | group
antineoplastic agents | group
non-steroidal anti-inflammatory drugs | group
anticoagulants | group
antiplatelet medication | group
anticoagulant medication | group
indanedione anticoagulants | group
aminoglycoside antibiotics | group
diuretics | group
Antihypertensives | group
antihypertensive drugs | group
Anticoagulants | group
5-HT3 antagonists | group
Corticosteroids | group
contraceptives | group
contraceptive | group
contraceptives | group
contraceptives | group
benzodiazepines | group
antiarrhythmics | group
Protease Inhibitors | group
Protease inhibitors | group
protease inhibitor | group
Histamine H2 antagonists | group
digitalis | group
antibodies | group
neuromuscular blocking agents | group
sedatives | group
anticoagulant | group
coumarin | group
Barbiturates | group
coumarin drugs | group
anticoagulant agents | group
anticoagulant | group
CNS depressant drugs | group
barbiturates | group
tranquilizers | group
opioids | group
anesthetics | group
CNS depressant drugs | group
digitalis | group
digitalis | group
angiotensin-converting enzyme inhibitors | group
barbiturates | group
benzodiazepines | group
nonsteroidal anti-inflammatory | group
aminoglycosides | group
non-steroidal anti-inflammatory agents | group
Diuretic | group
diuretics | group
diuretic | group
diuretic | group
vasodilators | group
nitrates | group
antihypertensive agents | group
diuretics | group
thiazides | group
diuretics | group
ganglionic blocking agents | group
adrenergic neuron blocking agents | group
Beta-adrenergic blocking drugs | group
Potassium-sparing diuretics | group
nonsteroidal anti-inflammatory agents | group
ACE inhibitor | group
diuretic | group
Cardiac Glycosides | group
Loop Diuretics | group
anesthetics | group
sedatives | group
antianxiety drugs | group
hypnotics | group
opiate analgesics | group
beta blocking agents | group
beta blockers | group
hydantoin antiepileptic | group
coumarin anticoagulant | group
coumarin | group
coumarin anticoagulants | group
coumarin anticoagulants | group
coumarin anticoagulants | group
coumarin anticoagulants | group
thiazide diuretic | group
calcium channel blockers | group
beta2 agonists | group
H2-antagonists | group
monoamine oxidase inhibitors | group
Dopamine D2 receptor antagonists | group
phenothiazines | group
butyrophenones | group
Antacids | group
H 2 -receptor antagonists | group
antacid | group
cephalosporins | group
vasodilators | group
antihypertensive agents | group
anticoagulants | group
anticoagulants | group
diuretics | group
cardiac glycosides | group
calcium channel blockers | group
analgesics | group
antipyretics | group
nonsteroidal antiinflammatories | group
corticosteroids | group
MAO inhibitors | group
steroid | group
steroid | group
steroid | group
tricyclic antidepressants | group
salicylates | group
hydantoins | group
sulfonamides | group
sulfonylureas | group
coumarin-type anticoagulants | group
loop diuretics | group
steroid | group
steroid | group
steroid | group
salicylate | group
Antacids | group
Anticoagulants | group
anticoagulants of the warfarin type | group
NSAIDs | group
NSAIDs | group
NSAIDs | group
anticoagulant | group
NSAIDs | group
NSAID | group
Hypoglycemics | group
hypoglycemic agents | group
hypoglycemic agents | group
hypoglycemic agents | group
Diuretics | group
NSAIDs | group
diuretics | group
